Stichtag;Konto;Personenkonto;Name;Land;Beleg;Rechnungsdatum;Faelligkeit;Waehrung;Netto_Rechnung_EUR;USt_Satz_Prozent;USt_Rechnung_EUR;Brutto_Rechnung_EUR;Bis_Stichtag_bezahlt_EUR;Offen_Brutto_EUR;Vermerk;EWB_EUR
2024-12-31;1200;10001;Noreva Wholefood Distribution Ltd.;Kanada;MF-24-01-01;2024-10-08;2024-11-22;EUR;100.000,00;0;0,00;100.000,00;0,00;100.000,00;"Einzelfallbewertung aus Altbestand; 2025 abgewickelt";10.000,00
2024-12-31;1200;10002;Kitanami Trading K.K.;Japan;MF-24-02-01;2024-11-11;2024-12-26;EUR;90.000,00;0;0,00;90.000,00;0,00;90.000,00;"Einzelfallbewertung aus Altbestand; 2025 abgewickelt";20.000,00
2024-12-31;1200;10003;Kornhafen Fachgroßhandel GmbH;Deutschland;MF-24-03-01;2024-12-14;2025-01-13;EUR;50.000,00;7;3.500,00;53.500,00;10.700,00;42.800,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
2024-12-31;1200;10003;Kornhafen Fachgroßhandel GmbH;Deutschland;MF-24-03-02;2024-10-15;2024-11-14;EUR;43.750,00;7;3.062,50;46.812,50;9.362,50;37.450,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
2024-12-31;1200;10003;Kornhafen Fachgroßhandel GmbH;Deutschland;MF-24-03-03;2024-11-16;2024-12-16;EUR;31.250,00;7;2.187,50;33.437,50;6.687,50;26.750,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
2024-12-31;1200;10004;Veloria Naturmarkt GmbH;Deutschland;MF-24-04-01;2024-10-17;2024-11-16;EUR;50.000,00;19;9.500,00;59.500,00;11.900,00;47.600,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
2024-12-31;1200;10004;Veloria Naturmarkt GmbH;Deutschland;MF-24-04-02;2024-11-18;2024-12-18;EUR;43.750,00;19;8.312,50;52.062,50;10.412,50;41.650,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
2024-12-31;1200;10004;Veloria Naturmarkt GmbH;Deutschland;MF-24-04-03;2024-12-19;2025-01-18;EUR;31.250,00;19;5.937,50;37.187,50;7.437,50;29.750,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
2024-12-31;1200;10005;Polderkern Food B.V.;Niederlande;MF-24-05-01;2024-11-20;2024-12-20;EUR;60.000,00;0;0,00;60.000,00;12.000,00;48.000,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
2024-12-31;1200;10005;Polderkern Food B.V.;Niederlande;MF-24-05-02;2024-12-21;2025-01-20;EUR;52.500,00;0;0,00;52.500,00;10.500,00;42.000,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
2024-12-31;1200;10005;Polderkern Food B.V.;Niederlande;MF-24-05-03;2024-10-22;2024-11-21;EUR;37.500,00;0;0,00;37.500,00;7.500,00;30.000,00;"Unbeanstandet; Zahlung nicht eingegangen";0,00
