Stichtag;Konto;Personenkonto;Name;Land;Beleg;Rechnungsdatum;Faelligkeit;Waehrung;Netto_Rechnung_EUR;USt_Satz_Prozent;USt_Rechnung_EUR;Brutto_Rechnung_EUR;Bis_Stichtag_bezahlt_EUR;Offen_Brutto_EUR;Vermerk
2024-12-31;3300;70001;AndenSaat Export S.A.C.;Peru;EK-24-01-01;2024-10-08;2024-11-07;EUR;150.000,00;0;0,00;150.000,00;0,00;150.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70002;Cordillera Frucht SpA;Chile;EK-24-02-01;2024-11-11;2024-12-11;EUR;100.000,00;0;0,00;100.000,00;0,00;100.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70003;Polderkern Ingredients B.V.;Niederlande;EK-24-03-01;2024-12-14;2025-01-13;EUR;55.000,00;0;0,00;55.000,00;11.000,00;44.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70003;Polderkern Ingredients B.V.;Niederlande;EK-24-03-02;2024-10-15;2024-11-14;EUR;48.125,00;0;0,00;48.125,00;9.625,00;38.500,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70003;Polderkern Ingredients B.V.;Niederlande;EK-24-03-03;2024-11-16;2024-12-16;EUR;34.375,00;0;0,00;34.375,00;6.875,00;27.500,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70004;Navira Seeds Pvt. Ltd.;Indien;EK-24-04-01;2024-10-17;2024-11-16;EUR;45.000,00;0;0,00;45.000,00;9.000,00;36.000,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70004;Navira Seeds Pvt. Ltd.;Indien;EK-24-04-02;2024-11-18;2024-12-18;EUR;39.375,00;0;0,00;39.375,00;7.875,00;31.500,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70004;Navira Seeds Pvt. Ltd.;Indien;EK-24-04-03;2024-12-19;2025-01-18;EUR;28.125,00;0;0,00;28.125,00;5.625,00;22.500,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70005;Formwerk Packmittel GmbH;Deutschland;EK-24-05-01;2024-11-20;2024-12-20;EUR;25.000,00;19;4.750,00;29.750,00;5.950,00;23.800,00;"Unbeanstandet; Zahlung nicht eingegangen"
2024-12-31;3300;70005;Formwerk Packmittel GmbH;Deutschland;EK-24-05-02;2024-12-21;2025-01-20;EUR;21.875,00;19;4.156,25;26.031,25;5.206,25;20.825,00;"Unbeanstandet; Zahlung nicht eingegangen"
