Jahr;Monat;Beschaeftigte_einschliesslich_GF;Lager;Vertrieb;Einkauf;Qualitaet;Verwaltung;Geschaeftsfuehrung;Bruttogehaelter_EUR;AG_Sozialaufwand_EUR;Offene_Nettoloehne_Monatsende_EUR;Lohnsteuer_Monatsende_EUR;Sozialversicherung_Monatsende_EUR
2024;1;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;2;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;3;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;4;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;5;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;6;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;7;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;8;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;9;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;10;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;11;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2024;12;20;8;5;2;2;2;1;86.000,00;18.000,00;-0,00;12.900,00;-0,00
2025;1;20;8;5;2;2;2;1;87.500,00;19.000,00;-0,00;13.125,00;-0,00
2025;2;20;8;5;2;2;2;1;87.500,00;19.000,00;-0,00;13.125,00;-0,00
2025;3;20;8;5;2;2;2;1;87.500,00;19.000,00;-0,00;13.125,00;-0,00
2025;4;20;8;5;2;2;2;1;87.500,00;19.000,00;-0,00;13.125,00;-0,00
2025;5;20;8;5;2;2;2;1;87.500,00;19.000,00;-0,00;13.125,00;-0,00
2025;6;20;8;5;2;2;2;1;87.500,00;19.000,00;-0,00;13.125,00;-0,00
2025;7;20;8;5;2;2;2;1;89.000,00;19.000,00;-0,00;13.350,00;-0,00
2025;8;20;8;5;2;2;2;1;89.000,00;19.000,00;-0,00;13.350,00;-0,00
2025;9;20;8;5;2;2;2;1;89.000,00;19.000,00;-0,00;13.350,00;-0,00
2025;10;20;8;5;2;2;2;1;89.000,00;19.000,00;-0,00;13.350,00;-0,00
2025;11;20;8;5;2;2;2;1;89.000,00;19.000,00;-0,00;13.350,00;-0,00
2025;12;20;8;5;2;2;2;1;89.000,00;19.000,00;35.000,00;13.350,00;22.000,00
