monat,anfangssaldo_eur,einzahlungen_anleger_eur,projektertraege_eur,renditeauszahlungen_anleger_eur,kapitalrueckzahlungen_anleger_eur,projektinvestitionen_eur,vertriebsprovisionen_eur,betriebskosten_eur,privatentnahmen_gf_eur,endsaldo_eur
2023-02,25000.00,265000.00,0.00,0.00,0.00,0.00,31800.00,18643.52,8000.00,231556.48
2023-03,231556.48,15000.00,0.00,1766.67,0.00,0.00,1800.00,18247.20,8000.00,216742.61
2023-04,216742.61,55000.00,0.00,1866.67,0.00,120000.00,6600.00,18159.89,8000.00,117116.05
2023-05,117116.05,160000.00,0.00,2233.34,0.00,0.00,19200.00,17253.05,8000.00,230429.66
2023-06,230429.66,100000.00,0.00,3300.00,0.00,85000.00,12000.00,19321.72,8000.00,202807.94
2023-07,202807.94,190000.00,0.00,3966.67,0.00,0.00,22800.00,16745.75,8000.00,341295.52
2023-08,341295.52,150000.00,0.00,5233.34,0.00,0.00,18000.00,17841.11,8000.00,442221.07
2023-09,442221.07,140000.00,0.00,6233.34,0.00,140000.00,16800.00,17150.61,8000.00,394037.12
2023-10,394037.12,50000.00,0.00,7166.67,0.00,0.00,6000.00,18807.71,8000.00,404062.74
2023-11,404062.74,105000.00,0.00,7500.00,0.00,60000.00,12600.00,17058.56,8000.00,403904.18
2023-12,403904.18,10000.00,0.00,8200.00,0.00,0.00,1200.00,19249.92,8000.00,377254.26
2024-01,377254.26,30000.00,4245.01,8266.67,0.00,0.00,3600.00,23702.57,12000.00,363930.03
2024-02,363930.03,135000.00,3757.19,8466.67,0.00,175000.00,16200.00,23521.07,12000.00,267499.48
2024-03,267499.48,30000.00,4027.38,9366.67,0.00,0.00,3600.00,21349.23,12000.00,255210.96
2024-04,255210.96,90000.00,4254.75,9566.67,0.00,95000.00,10800.00,21434.98,12000.00,200664.06
2024-05,200664.06,45000.00,4575.43,10166.67,0.00,0.00,5400.00,23589.82,12000.00,199083.00
2024-06,199083.00,245000.00,3133.91,9933.34,80000.00,210000.00,29400.00,21511.52,12000.00,84372.05
2024-07,84372.05,75000.00,3846.77,11566.68,0.00,0.00,9000.00,22194.48,12000.00,108457.66
2024-08,108457.66,150000.00,2917.84,12066.68,0.00,60000.00,18000.00,22771.25,12000.00,136537.57
2024-09,136537.57,95000.00,3129.59,13066.68,0.00,0.00,11400.00,20248.12,12000.00,177952.36
2024-10,177952.36,160000.00,3380.29,13700.01,0.00,0.00,19200.00,22764.83,12000.00,273667.81
2024-11,273667.81,140000.00,4480.00,14766.68,0.00,0.00,16800.00,22270.76,50500.00,313810.37
2024-12,313810.37,25000.00,3868.26,15700.02,0.00,0.00,3000.00,23237.46,12000.00,288741.15
2025-01,288741.15,260000.00,0.00,15866.69,0.00,0.00,31200.00,29871.14,30000.00,441803.32
2025-02,441803.32,120000.00,0.00,17600.02,0.00,0.00,14400.00,30751.54,30000.00,469051.76
2025-03,469051.76,100000.00,0.00,18066.69,50000.00,0.00,12000.00,27689.75,30000.00,431295.32
2025-04,431295.32,175000.00,0.00,18733.35,0.00,0.00,21000.00,29965.17,30000.00,506596.80
2025-05,506596.80,90000.00,0.00,19900.02,0.00,0.00,10800.00,28938.92,30000.00,506957.86
2025-06,506957.86,25000.00,0.00,20500.02,0.00,0.00,3000.00,28741.71,115000.00,364716.13
2025-07,364716.13,170000.00,0.00,20666.68,0.00,0.00,20400.00,29047.85,30000.00,434601.60
2025-08,434601.60,100000.00,0.00,21800.01,0.00,0.00,12000.00,27677.20,30000.00,443124.39
2025-09,443124.39,125000.00,0.00,22466.68,0.00,0.00,15000.00,29268.99,30000.00,471388.72
2025-10,471388.72,85000.00,0.00,23300.01,0.00,0.00,10200.00,29912.52,30000.00,462976.19
2025-11,462976.19,205000.00,0.00,23066.68,120000.00,0.00,24600.00,28600.92,30000.00,441708.59
2025-12,441708.59,75000.00,0.00,24433.35,0.00,0.00,9000.00,27961.13,30000.00,425314.11
2026-01,425314.11,80000.00,0.00,24933.35,0.00,0.00,9600.00,32480.30,30000.00,408300.46
2026-02,408300.46,130000.00,0.00,0.00,0.00,0.00,15600.00,31933.65,30000.00,460766.81
2026-03,460766.81,0.00,0.00,0.00,0.00,0.00,0.00,31667.62,30000.00,399099.19
