uhrzeit,funkrufname,richtung,meldung
13:40:12,Castor 21,an EL,"Beginn Observation Maltheserstr. 44, Bochum; Zielperson Kowalczik nicht sichtbar"
13:58:47,Castor 21,an EL,Zielperson betritt Hauseingang Maltheserstr. 44 mit Sporttasche
14:20:31,Castor 21,an EL,"Beobachtung Uebergabe an Hauseingang: Zielperson uebergibt Kleinpaket an maennliche Person, ca. 25 Jahre, blaue Jacke; Gegenleistung Bargeld"
14:26:18,Castor 22,an EL,Anhaltung des Kaeufers Ecke Alsenstr./Oskar-Hoffmann-Str.; Auffinden ca. 5 g Marihuana in Klemmleistenbeutel
14:32:05,EL Brechler,an KK 12,"Ruecksprache mit KHK Odenwald, KK 12; Sachverhalt uebermittelt"
14:55:40,EL Brechler,an alle,Uebernahme Einsatzleitung POK Brechler; Castor 21 haelt Observation
15:10:22,EL Brechler,an Leitstelle,Anforderung zweier Streifenwagen zur Unterstuetzung Zugriff
15:38:09,Castor 21,an EL,Zielperson weiterhin in Wohnung; Licht 1. OG links; keine Bewegung
16:05:51,Castor 22,an EL,Vernehmung Kaeufer auf Wache beendet; Kaeufer benennt Wohnung 1. OG links als Bezugsquelle
16:40:14,EL Brechler,an alle,Anfahrt Zugriffskraefte Maltheserstr. 44; Bereitstellung Hofseite
16:58:33,Funkwagen 11/2,an EL,Position bezogen Rueckseite; Hofausgang gesichert
17:05:02,EL Brechler,an alle,Zugriff; Betreten der Wohnung 1. OG links auf Anordnung StA wegen Gefahr im Verzug
17:12:26,EL Brechler,an Leitstelle,Beschuldigter in Wohnung angetroffen und belehrt; Durchsuchung laeuft
17:48:44,Funkwagen 11/1,an Leitstelle,Auffinden von vier Beuteln Marihuana im Schlafzimmerschrank
18:15:19,Funkwagen 11/1,an Leitstelle,Auffinden einer Pistole 9 mm nebst Magazin unter Bett; Waffe gesichert
18:40:55,EL Brechler,an Leitstelle,Durchsuchung beendet; Asservate verpackt; Beschuldigter zur Wache verbracht
19:05:37,EL Brechler,an KDD,Uebergabe Asservate an Kriminaldauerdienst; Ende Einsatz
