asservat_nr,kategorie,bezeichnung,anzahl,gewicht_brutto_g,gewicht_netto_g,fundort
A01,Betaeubungsmittel,"Marihuana, Beutel 1 (Druckverschluss, gruen)",1,498.2,476.8,"Schlafzimmer, Kleiderschrank oben"
A02,Betaeubungsmittel,"Marihuana, Beutel 2 (Druckverschluss, gruen)",1,312.7,305.2,"Schlafzimmer, Kleiderschrank oben"
A03,Betaeubungsmittel,"Marihuana, Beutel 3 (Vakuumbeutel)",1,249.1,241.9,"Schlafzimmer, Kleiderschrank unten"
A04,Betaeubungsmittel,"Marihuana, Beutel 4 (Vakuumbeutel)",1,154.6,152.4,"Schlafzimmer, Kleiderschrank unten"
A05,Betaeubungsmittel,"Amphetaminpaste, Tuete 1",1,212.4,201.5,"Kueche, Gefrierfach"
A06,Betaeubungsmittel,"Amphetaminpaste, Tuete 2",1,127.9,121.0,"Kueche, Gefrierfach"
A07,Bargeld,Banknoten 100 EUR,18,,,"Wohnzimmer, Schreibtischschublade"
A08,Bargeld,Banknoten 50 EUR,27,,,"Wohnzimmer, Schreibtischschublade"
A09,Bargeld,Banknoten 20 EUR,96,,,"Wohnzimmer, Schreibtischschublade"
A10,Bargeld,Banknoten 10 EUR,143,,,"Schlafzimmer, Nachttisch"
A11,Bargeld,Banknoten 5 EUR,63,,,"Schlafzimmer, Nachttisch"
A12,Waffe,"Halbautomatische Pistole, Kaliber 9 mm Luger, nebst Magazin",1,,,"Schlafzimmer, unter dem Bett"
A13,Munition,Patronen 9 mm Luger,14,,,"Schlafzimmer, unter dem Bett"
A14,Mobiltelefon,"Smartphone, schwarz, mit Displaysperre",1,,,"Wohnzimmer, Couchtisch"
A15,Utensilien,"Feinwaage, digital, bis 500 g",1,,,"Kueche, Haengeschrank"
A16,Utensilien,"Klemmleistenbeutel, unbenutzt, Packung",250,,,"Kueche, Haengeschrank"
A17,Unterlagen,Notizbuch mit Zahlenkolonnen und Namenskuerzeln,1,,,"Wohnzimmer, Schreibtischschublade"
