Sitzungstag;Datum;Uhrzeit;Vorgang;Quelle;Protokolldeckung
1;15.01.2026;09:15;Aufruf der Sache und Verlesung der Anklage;Sitzungsprotokoll;deckungsgleich
1;15.01.2026;10:05;Einlassung des Angeklagten Candan, bestreitet Tatbeteiligung;Sitzungsprotokoll;deckungsgleich
2;22.01.2026;09:20;Vernehmung Mitangeklagter Dennis Krawczyk, belastet Candan;Sitzungsprotokoll;deckungsgleich
2;22.01.2026;11:40;Augenschein Videoaufnahme Getraenkemarkt Kamera 2;Sitzungsprotokoll;deckungsgleich
3;29.01.2026;09:30;Vernehmung Polizeibeamter zur Spurenlage;Sitzungsprotokoll;deckungsgleich
4;05.02.2026;11:20;Beweisantrag Verteidigung auf Vernehmung Zeuge Karol Nowak, Alibi Bahnhof;Protokoll und Mitschrift;verkuerzt
4;05.02.2026;11:24;Verlesung Konnexitaetsdarlegung, Nowak kennt Candan als Stammfahrgast;Verteidiger-Mitschrift;fehlt
4;05.02.2026;11:30;Stellungnahme der Staatsanwaltschaft zum Beweisantrag;Sitzungsprotokoll;deckungsgleich
5;12.02.2026;09:40;Beschluss Ablehnung Beweisantrag als aus tatsaechlichen Gruenden bedeutungslos;Protokoll und Mitschrift;verkuerzt
5;12.02.2026;09:55;Schlussvortraege der Beteiligten;Sitzungsprotokoll;deckungsgleich
5;12.02.2026;11:10;Urteilsverkuendung fuenf Jahre sechs Monate;Sitzungsprotokoll;deckungsgleich
