buchungstag,wertstellung,verwendungszweck,empfaenger_oder_einzahler,betrag_eur,saldo_eur,belegart
2025-01-14,2025-01-14,Mitgliedsbeitraege Lastschrifteinzug Januar,SV Nordpark Kassel e.V.,4180.00,12440.18,Sammellastschrift
2025-02-03,2025-02-03,Bargeldauszahlung Geldautomat Kassel Wilhelmshoeher Allee,Kartenverfuegung Nr. 4,-1200.00,11240.18,Kartenverfuegung
2025-02-19,2025-02-19,Rechnung Sportbedarf Trikotsatz Jugend,Sporthaus Kirchner GmbH,-1874.60,9365.58,Ueberweisung
2025-03-07,2025-03-07,Bargeldauszahlung Geldautomat Kassel Hauptbahnhof,Kartenverfuegung Nr. 4,-1500.00,7865.58,Kartenverfuegung
2025-03-21,2025-03-21,Zuschuss Stadt Kassel Jugendfoerderung erste Rate,Stadt Kassel,6000.00,13865.58,Gutschrift
2025-04-11,2025-04-11,Ueberweisung ohne Belegzuordnung,M. Schulte,-2200.00,11665.58,Ueberweisung
2025-04-28,2025-04-28,Platzmiete und Nebenkosten zweites Quartal,Sportamt Kassel,-1340.00,10325.58,Lastschrift
2025-05-16,2025-05-16,Bargeldauszahlung Geldautomat Baunatal,Kartenverfuegung Nr. 4,-900.00,9425.58,Kartenverfuegung
2025-06-06,2025-06-06,Sommerfest Getraenke und Zelt,Festservice Ohlmann,-1610.40,7815.18,Ueberweisung
2025-06-27,2025-06-27,Ueberweisung ohne Belegzuordnung,M. Schulte,-1800.00,6015.18,Ueberweisung
2025-07-18,2025-07-18,Mitgliedsbeitraege Lastschrifteinzug Juli,SV Nordpark Kassel e.V.,4120.00,10135.18,Sammellastschrift
2025-08-08,2025-08-08,Bargeldauszahlung Geldautomat Kassel Wilhelmshoeher Allee,Kartenverfuegung Nr. 4,-1400.00,8735.18,Kartenverfuegung
2025-09-02,2025-09-02,Schiedsrichterkosten Verbandsabrechnung,Hessischer Fussball-Verband,-980.00,7755.18,Lastschrift
2025-09-24,2025-09-24,Ueberweisung ohne Belegzuordnung,M. Schulte,-2500.00,5255.18,Ueberweisung
2025-10-15,2025-10-15,Zuschuss Stadt Kassel Jugendfoerderung zweite Rate,Stadt Kassel,6000.00,11255.18,Gutschrift
2025-10-30,2025-10-30,Bargeldauszahlung Geldautomat Kassel Hauptbahnhof,Kartenverfuegung Nr. 4,-1100.00,10155.18,Kartenverfuegung
2025-11-12,2025-11-12,Hallenmiete Wintersaison,Sportamt Kassel,-2240.00,7915.18,Lastschrift
2025-11-27,2025-11-27,Ueberweisung ohne Belegzuordnung,M. Schulte,-1950.00,5965.18,Ueberweisung
2025-12-09,2025-12-09,Weihnachtsfeier Jugendabteilung Gaststaette,Gaststaette Zum Nordpark,-742.30,5222.88,Kartenzahlung
2025-12-19,2025-12-19,Bargeldauszahlung Geldautomat Baunatal,Kartenverfuegung Nr. 4,-1300.00,3922.88,Kartenverfuegung
