Monat;Kasse;Einsaetze_abgerechnet;Verguetung_je_Einsatz_EUR;Betrag_EUR
2023-01;AOK Baden-Wuerttemberg;300;120.00;36000.00
2023-01;DAK-Gesundheit;180;120.00;21600.00
2023-01;BARMER;120;120.00;14400.00
2023-02;AOK Baden-Wuerttemberg;304;120.00;36480.00
2023-02;DAK-Gesundheit;183;120.00;21960.00
2023-02;BARMER;122;120.00;14640.00
2023-03;AOK Baden-Wuerttemberg;310;120.00;37200.00
2023-03;DAK-Gesundheit;186;120.00;22320.00
2023-03;BARMER;124;120.00;14880.00
2023-04;AOK Baden-Wuerttemberg;312;120.00;37440.00
2023-04;DAK-Gesundheit;187;120.00;22440.00
2023-04;BARMER;124;120.00;14880.00
2023-05;AOK Baden-Wuerttemberg;318;120.00;38160.00
2023-05;DAK-Gesundheit;191;120.00;22920.00
2023-05;BARMER;127;120.00;15240.00
2023-06;AOK Baden-Wuerttemberg;322;120.00;38640.00
2023-06;DAK-Gesundheit;194;120.00;23280.00
2023-06;BARMER;129;120.00;15480.00
2023-07;AOK Baden-Wuerttemberg;324;120.00;38880.00
2023-07;DAK-Gesundheit;194;120.00;23280.00
2023-07;BARMER;130;120.00;15600.00
2023-08;AOK Baden-Wuerttemberg;330;120.00;39600.00
2023-08;DAK-Gesundheit;198;120.00;23760.00
2023-08;BARMER;131;120.00;15720.00
2023-09;AOK Baden-Wuerttemberg;334;120.00;40080.00
2023-09;DAK-Gesundheit;200;120.00;24000.00
2023-09;BARMER;134;120.00;16080.00
2023-10;AOK Baden-Wuerttemberg;338;120.00;40560.00
2023-10;DAK-Gesundheit;203;120.00;24360.00
2023-10;BARMER;136;120.00;16320.00
2023-11;AOK Baden-Wuerttemberg;343;120.00;41160.00
2023-11;DAK-Gesundheit;206;120.00;24720.00
2023-11;BARMER;137;120.00;16440.00
2023-12;AOK Baden-Wuerttemberg;348;120.00;41760.00
2023-12;DAK-Gesundheit;208;120.00;24960.00
2023-12;BARMER;139;120.00;16680.00
2024-01;AOK Baden-Wuerttemberg;351;120.00;42120.00
2024-01;DAK-Gesundheit;211;120.00;25320.00
2024-01;BARMER;140;120.00;16800.00
2024-02;AOK Baden-Wuerttemberg;357;120.00;42840.00
2024-02;DAK-Gesundheit;214;120.00;25680.00
2024-02;BARMER;143;120.00;17160.00
2024-03;AOK Baden-Wuerttemberg;363;120.00;43560.00
2024-03;DAK-Gesundheit;218;120.00;26160.00
2024-03;BARMER;145;120.00;17400.00
2024-04;AOK Baden-Wuerttemberg;369;120.00;44280.00
2024-04;DAK-Gesundheit;221;120.00;26520.00
2024-04;BARMER;148;120.00;17760.00
2024-05;AOK Baden-Wuerttemberg;375;120.00;45000.00
2024-05;DAK-Gesundheit;225;120.00;27000.00
2024-05;BARMER;150;120.00;18000.00
2024-06;AOK Baden-Wuerttemberg;381;120.00;45720.00
2024-06;DAK-Gesundheit;229;120.00;27480.00
2024-06;BARMER;152;120.00;18240.00
2024-07;AOK Baden-Wuerttemberg;387;120.00;46440.00
2024-07;DAK-Gesundheit;232;120.00;27840.00
2024-07;BARMER;155;120.00;18600.00
2024-08;AOK Baden-Wuerttemberg;393;120.00;47160.00
2024-08;DAK-Gesundheit;236;120.00;28320.00
2024-08;BARMER;157;120.00;18840.00
2024-09;AOK Baden-Wuerttemberg;399;120.00;47880.00
2024-09;DAK-Gesundheit;239;120.00;28680.00
2024-09;BARMER;160;120.00;19200.00
2024-10;AOK Baden-Wuerttemberg;405;120.00;48600.00
2024-10;DAK-Gesundheit;243;120.00;29160.00
2024-10;BARMER;162;120.00;19440.00
2024-11;AOK Baden-Wuerttemberg;411;120.00;49320.00
2024-11;DAK-Gesundheit;247;120.00;29640.00
2024-11;BARMER;164;120.00;19680.00
2024-12;AOK Baden-Wuerttemberg;388;120.00;46560.00
2024-12;DAK-Gesundheit;232;120.00;27840.00
2024-12;BARMER;155;120.00;18600.00
Summe;;16923;;2030760.00
