Monat;Touren_lt_Tourenplan;Einsaetze_dokumentiert_gefahren;Pflegekraefte_im_Dienst;Fahrleistung_km
2023-01;26;520;6;4680
2023-02;26;524;6;4716
2023-03;26;530;6;4770
2023-04;26;528;6;4752
2023-05;27;536;6;4824
2023-06;27;540;6;4860
2023-07;27;538;6;4842
2023-08;27;544;6;4896
2023-09;27;548;6;4932
2023-10;28;552;6;4968
2023-11;28;556;6;5004
2023-12;28;560;6;5040
2024-01;28;562;7;5058
2024-02;28;566;7;5094
2024-03;28;570;7;5130
2024-04;29;574;7;5166
2024-05;29;578;7;5202
2024-06;29;582;7;5238
2024-07;29;586;7;5274
2024-08;30;590;7;5310
2024-09;30;594;7;5346
2024-10;30;598;7;5382
2024-11;30;602;7;5418
2024-12;30;606;7;5454
Summe;;13484;;
