Datum;Uhrzeit;Fahrzeug;Position;Status;Tageskilometer
14.05.2024;07:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;09:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;11:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;13:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;15:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;17:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;07:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;09:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;11:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;13:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;15:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;17:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
14.05.2024;07:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;4 km Tagesstand
14.05.2024;09:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;26 km Tagesstand
14.05.2024;11:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;48 km Tagesstand
14.05.2024;13:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;70 km Tagesstand
14.05.2024;15:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;92 km Tagesstand
14.05.2024;17:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;114 km Tagesstand
15.05.2024;07:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;09:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;11:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;13:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;15:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;17:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;07:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;09:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;11:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;13:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;15:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;17:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
15.05.2024;07:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;4 km Tagesstand
15.05.2024;09:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;26 km Tagesstand
15.05.2024;11:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;48 km Tagesstand
15.05.2024;13:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;70 km Tagesstand
15.05.2024;15:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;92 km Tagesstand
15.05.2024;17:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;114 km Tagesstand
03.06.2024;07:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;09:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;11:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;13:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;15:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;17:00;MA-PS 214;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;07:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;09:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;11:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;13:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;15:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;17:00;MA-PS 215;49.44712,8.45903 (Betriebssitz Rheingoldstr. 48);Zuendung aus;0 km Tagesstand
03.06.2024;07:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;4 km Tagesstand
03.06.2024;09:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;26 km Tagesstand
03.06.2024;11:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;48 km Tagesstand
03.06.2024;13:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;70 km Tagesstand
03.06.2024;15:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;92 km Tagesstand
03.06.2024;17:00;MA-PS 216;in Bewegung / Zwischenhalt Tour Nord;Zuendung ein;114 km Tagesstand
