abrechnungsdatum;kanal;artikel;menge_oder_nutzung;brutto_eur;nettoverlagserloes_eur;retouren_stornos;land
2026-03-16;Print Direkt;9783947821634;38;4864,00;3102,72;0;DE
2026-03-16;Buchhandel;9783947821634;214;27392,00;15065,60;12;DE
2026-03-16;E-Book Einzel;9783947821641;63;6867,00;4806,90;4;DE
2026-03-16;Fachpaket;LF-WW-3-B1;22;3278,00;2294,60;0;DE
2026-03-16;PraxisPlus;LF-WW-3-P1;14;2366,00;1656,20;0;DE
2026-03-31;KommunalPraxis Online;KP-163-D12;12480 Minuten;2178,40;1524,88;0;DE
2026-04-01;Print Direkt;9783947821634;52;6656,00;4246,32;1;DE
2026-04-01;Buchhandel;9783947821634;291;37248,00;20486,40;18;DE
2026-04-01;E-Book Einzel;9783947821641;121;13189,00;9232,30;9;DE
2026-04-01;Fachpaket;LF-WW-3-B1;57;8493,00;5945,10;2;DE
2026-04-01;PraxisPlus;LF-WW-3-P1;83;11537,00;8075,90;6;DE
2026-04-30;KommunalPraxis Online;KP-163-D12;28760 Minuten;4912,60;3438,82;0;DE
2026-05-01;Print Direkt;9783947821634;31;3968,00;2530,84;0;DE
2026-05-01;Buchhandel;9783947821634;198;25344,00;13939,20;27;DE
2026-05-01;E-Book Einzel;9783947821641;89;9701,00;6790,70;7;DE
2026-05-01;Fachpaket;LF-WW-3-B1;41;6109,00;4276,30;1;DE
2026-05-01;PraxisPlus;LF-WW-3-P1;26;4394,00;3075,80;3;DE
2026-05-31;KommunalPraxis Online;KP-163-D12;23110 Minuten;4031,20;2821,84;0;DE
2026-06-01;Print Direkt;9783947821634;27;3456,00;2204,28;0;DE
2026-06-01;Buchhandel;9783947821634;173;22144,00;12179,20;21;DE
2026-06-01;E-Book Einzel;9783947821641;72;7848,00;5493,60;5;DE
2026-06-01;Fachpaket;LF-WW-3-B1;34;5066,00;3546,20;0;DE
2026-06-01;Behördenlizenz;LF-WW-3-BEH;1;1800,00;1800,00;0;DE
