"Schichtbeginn";"Schichtende";"Linie";"Stillstand_min";"Reduziert_min";"Gutbogen";"Vermerk"
"2026-09-10 06:00";"2026-09-10 14:00";"K1";"0";"0";"34000";"Planbetrieb, Reinigung vermerkt"
"2026-09-10 06:00";"2026-09-10 14:00";"K2";"0";"0";"26000";"Planbetrieb, Reinigung vermerkt"
"2026-09-10 14:00";"2026-09-10 22:00";"K1";"0";"0";"34000";"Planbetrieb, Reinigung vermerkt"
"2026-09-10 14:00";"2026-09-10 22:00";"K2";"0";"0";"26000";"Planbetrieb, Reinigung vermerkt"
"2026-09-10 22:00";"2026-09-11 06:00";"K1";"0";"0";"34000";"Planbetrieb, Reinigung vermerkt"
"2026-09-10 22:00";"2026-09-11 06:00";"K2";"0";"0";"26000";"Planbetrieb, Reinigung vermerkt"
"2026-09-11 06:00";"2026-09-11 14:00";"K1";"0";"0";"34000";"Planbetrieb, Reinigung vermerkt"
"2026-09-11 06:00";"2026-09-11 14:00";"K2";"0";"0";"26000";"Planbetrieb, Reinigung vermerkt"
"2026-09-11 14:00";"2026-09-11 22:00";"K1";"0";"0";"34000";"Planbetrieb, Reinigung vermerkt"
"2026-09-11 14:00";"2026-09-11 22:00";"K2";"0";"0";"26000";"Planbetrieb, Reinigung vermerkt"
"2026-09-11 22:00";"2026-09-12 06:00";"K1";"0";"0";"34000";"Planbetrieb, Reinigung vermerkt"
"2026-09-11 22:00";"2026-09-12 06:00";"K2";"210";"110";"13100";"Druckabfall; 1.120 Bogen Ausschuss, ""P-17"""
"2026-09-12 06:00";"2026-09-12 14:00";"K1";"0";"0";"33200";"Samstagsauftrag"
"2026-09-12 06:00";"2026-09-12 14:00";"K2";"0";"55";"24700";"Volle Leistung ab 06:55; Schichtübergabe Krüger/Faber"
