zeit_utc;mittenfrequenz_mhz;bandbreite_mhz;pegel_dbm;antenne_azimut_grad;antenne_elevation_grad;modus;messgeraet
2026-07-06T21:12:30Z;8258.5;120;-108.4;311.2;12.4;Empfang;EGS-SA-04
2026-07-06T21:13:00Z;8259.0;120;-101.2;312.1;13.0;Empfang;EGS-SA-04
2026-07-06T21:14:00Z;8260.5;120;-94.8;313.7;14.1;Empfang;EGS-SA-04
2026-07-06T21:16:00Z;8260.5;120;-90.7;316.0;15.8;Testaussendung;EGS-SA-04
2026-07-06T21:18:00Z;8260.5;120;-88.9;318.4;17.2;Testaussendung;EGS-SA-04
2026-07-06T21:20:00Z;8260.5;120;-87.1;320.9;18.5;Testaussendung;EGS-SA-04
2026-07-06T21:22:00Z;8260.5;120;-86.0;323.6;19.7;Testaussendung;EGS-SA-04
2026-07-06T21:24:00Z;8260.5;120;-85.3;326.4;20.8;Testaussendung;EGS-SA-04
2026-07-06T21:26:00Z;8260.5;120;-84.9;329.2;21.7;Testaussendung;EGS-SA-04
2026-07-06T21:28:16Z;8260.5;120;-84.6;332.0;22.4;Testaussendung;EGS-SA-04
2026-07-06T21:30:00Z;8260.5;120;-85.2;334.8;22.9;Testaussendung;EGS-SA-04
2026-07-06T21:32:00Z;8260.5;120;-86.4;337.5;23.1;Testaussendung;EGS-SA-04
2026-07-06T21:34:00Z;8260.5;120;-88.1;340.2;23.0;Testaussendung;EGS-SA-04
2026-07-06T21:36:00Z;8260.5;120;-91.5;342.8;22.6;Testaussendung;EGS-SA-04
2026-07-06T21:38:00Z;8260.5;120;-95.9;345.2;21.9;Empfang;EGS-SA-04
2026-07-06T21:41:00Z;8260.5;120;-105.6;348.6;20.1;Empfang;EGS-SA-04
