Jahr;Einheit;Leistung;Honorar_EUR;Freigabe;Rechnung;Bemerkung
2023;Hanseatische Revision Partnerschaft mbB;Abschlussprüfung;360000;HV und Aufsichtsrat;HR-230418;
2023;Hanseatic Tax GmbH;Steuer-Compliance;118000;PA 2023-04;HT-231177;
2024;Hanseatische Revision Partnerschaft mbB;Abschlussprüfung;390000;HV und Aufsichtsrat;HR-240522;
2024;Hanseatic Tax GmbH;Steuer-Compliance;124000;PA 2024-06;HT-241884;
2025;Hanseatische Revision Partnerschaft mbB;Abschlussprüfung;420000;HV und Aufsichtsrat;HR-260311;erteilt 11.03.2026
2025;Hanseatic Tax GmbH;Steuer-Compliance;128000;PA 22.05.2025;HT-251991;
2025;Hanseatic Advisory GmbH;OrbisCon Basismodul;185000;PA Information 22.05.2025;HA-250881;Managemententscheidungen laut Memo
2025;Hanseatic Advisory GmbH;OrbisCon Intercompany;155000;E-Mail Finanzvorstand;HA-251104;kein gesonderter Beschluss im Datenraum
2025;Hanseatic Advisory GmbH;OrbisCon Cash Forecast;155000;E-Mail Finanzvorstand;HA-251105;kein gesonderter Beschluss im Datenraum
2026;Hanseatische Revision Partnerschaft mbB;Prüfungsnahe Fördermittelbestätigung;85000;PA 15.01.2026;HR-260417;separates Team
