Fälligkeit;Anfang_EUR;Zinsen_EUR;Rate_EUR;Sondertilgung_EUR;Restkapital_EUR;Belegdatei
2025-04-05;207860.00;372.42;1380;0;206852.42;belege/Darlehenskonto_HD-2014-731.pdf
2025-05-05;206852.42;370.61;1380;0;205843.03;belege/Darlehenskonto_HD-2014-731.pdf
2025-06-05;205843.03;368.80;1380;0;204831.83;belege/Darlehenskonto_HD-2014-731.pdf
2025-07-05;204831.83;366.99;1380;0;203818.82;belege/Darlehenskonto_HD-2014-731.pdf
2025-08-05;203818.82;365.18;1380;0;202804.00;belege/Darlehenskonto_HD-2014-731.pdf
2025-09-05;202804.00;363.36;1380;0;201787.36;belege/Darlehenskonto_HD-2014-731.pdf
2025-10-05;201787.36;361.54;1380;0;200768.90;belege/Darlehenskonto_HD-2014-731.pdf
2025-11-05;200768.90;359.71;1380;0;199748.61;belege/Darlehenskonto_HD-2014-731.pdf
2025-12-05;199748.61;357.88;1380;0;198726.49;belege/Darlehenskonto_HD-2014-731.pdf
2026-01-05;198726.49;356.05;1380;0;197702.54;belege/Darlehenskonto_HD-2014-731.pdf
2026-02-05;197702.54;354.22;1380;0;196676.76;belege/Darlehenskonto_HD-2014-731.pdf
2026-03-05;196676.76;352.38;1380;0;195649.14;belege/Darlehenskonto_HD-2014-731.pdf
2026-04-05;195649.14;350.54;1380;0;194619.68;belege/Darlehenskonto_HD-2014-731.pdf
2026-05-05;194619.68;348.69;1380;3500;190088.37;belege/Darlehenskonto_HD-2014-731.pdf
2026-06-05;190088.37;340.57;1380;0;189048.94;belege/Darlehenskonto_HD-2014-731.pdf
2026-07-05;189048.94;338.71;1380;0;188007.65;belege/Darlehenskonto_HD-2014-731.pdf
