Position;2023_EUR;2024_EUR;2025_EUR;Belegdatei
Honorare Projektplanung;186420.00;199860.00;176480.00;belege/Betriebszahlen_2023_2025.pdf
Erlöse Schulungen;12400.00;16600.00;14750.00;belege/Betriebszahlen_2023_2025.pdf
Fremdleistungen;-34280.00;-39540.00;-31260.00;belege/Betriebszahlen_2023_2025.pdf
Büromiete;-12600.00;-13200.00;-13800.00;belege/Betriebszahlen_2023_2025.pdf
Personal Aushilfe;-15640.00;-17280.00;-18480.00;belege/Betriebszahlen_2023_2025.pdf
Software und Daten;-6840.00;-7440.00;-8520.00;belege/Betriebszahlen_2023_2025.pdf
Fahrten und Reisen;-7940.00;-8610.00;-6260.00;belege/Betriebszahlen_2023_2025.pdf
Versicherung und Beiträge;-3180.00;-3240.00;-3390.00;belege/Betriebszahlen_2023_2025.pdf
Abschreibungen;-10400.00;-11600.00;-9850.00;belege/Betriebszahlen_2023_2025.pdf
Finanzierungskosten;-1820.00;-1660.00;-1420.00;belege/Betriebszahlen_2023_2025.pdf
Sonstiger Aufwand;-8760.00;-9190.00;-8930.00;belege/Betriebszahlen_2023_2025.pdf
