Buchungstag;Wertstellung;Auftraggeber_Empfaenger;Verwendungszweck;Betrag_EUR
02.10.2024;02.10.2024;Cobaltech AG;Miete und NK-Vorauszahlung 10/2024 MV B-002 Friedrichstraße 143-145;52960,00
04.10.2024;04.10.2024;Lichtenberg & Sieboldt Steuerberatung PartG mbB;Miete und NK-Vorauszahlung 10/2024 MV B-001;18128,00
04.10.2024;07.10.2024;Brüggemann & Sennfeld Notare PartG;Miete und NK-Vorauszahlung 10/2024 MV B-004;14628,00
07.10.2024;07.10.2024;Café Trinité GmbH;Miete und NK-Vorauszahlung 10/2024 MV E-001;18400,00
07.10.2024;08.10.2024;Hagenpark Asset Management GmbH;Miete und NK-Vorauszahlung 10/2024 MV B-003;15785,00
10.10.2024;10.10.2024;Vodafone GmbH;Entgelt Antennenstandort Dach Q4/2024;4050,00
15.10.2024;15.10.2024;GASAG AG;Abschlag Wärme und Gas 10/2024 Objekt Friedrichstraße 143-145;-21340,00
15.10.2024;16.10.2024;Berliner Wasserbetriebe;Abschlag Wasser und Entwässerung 10/2024;-6412,00
18.10.2024;18.10.2024;Berolina Aufzugtechnik GmbH;Wartung Personenaufzüge und TG-Tor RG 24-5531;-3212,80
21.10.2024;21.10.2024;Allianz Versicherungs-AG;Teilregulierung Schadennummer A24-887-552 Wasserschaden Etage 4 West;11500,00
28.10.2024;28.10.2024;Lohnkonto Cortinhal;Vergütung Hausmeister 10/2024;-3486,20
30.10.2024;31.10.2024;Malermeister Draheim GmbH;Anstricharbeiten Etage 4 West nach Sanierung RG 2024-411;-4870,00
31.10.2024;31.10.2024;Berliner Stadtreinigung BSR;Entsorgung 10/2024;-2140,00
